maxeduc,valorjornal,fam_electricidad,fam_letrinas,riskmax,loutput,lseeds,lland,llabour,lfertilizer,lpesticide,ageold60,nooutinc,diste1,footaccess,caraccess,fullten,dum01,dum02,dum03,dum04,Participation
12,4,0.61224,0.4449,0.24881438289512,7.70300768247924,4.8283137373023,1.6094379124341,4.59511985013459,5.73334127689775,5.8406416573734,0,1,3.49754595686272,0,1,0,0,0,0,1,1
11,5,0.473134,0.49801,0.0152169540477273,7.15461535691366,4.02535169073515,0.405465108108164,4.17438726989564,5.01727983681492,4.91265488573605,0,1,3.28187905686036,0,1,1,0,0,1,0,1
10,4,0.6886,0.53947,0.163875039592634,5.48063892334199,3.61765194482557,0,3.43398720448515,4.33073334028633,4.18965474202643,0,1,3.35388594909658,0,1,1,0,0,1,0,1
14,3.5,0.9625,0.9875,6.31359896988394,6.43292401543952,4.24849524204936,0.916290731874155,4.04305126783455,4.75359019110636,3.39114704580865,0,0,3.7502390564961,1,0,1,0,0,0,1,1
9,4,1,1,0.826898063360482,6.30627528694802,3.63758615972639,0.693147180559945,3.17805383034795,4.86753445045558,3.3322045101752,1,1,3.79438907893906,1,0,1,0,0,0,1,1
3,5,0.6,0.4,0.163875039592634,6.37672694789863,3.13549421592915,0.693147180559945,3.8286413964891,6.42971947803914,4.77068462446567,0,1,3.29035894071585,0,1,0,0,0,1,0,1
11,4.5,0.6,0.4,1.05181732310114,4.969813299576,1.50407739677627,-0.693147180559945,2.484906649788,4.0943445622221,3.09104245335832,0,1,3.29035894071585,0,1,1,0,0,1,0,1
6,4,0.7,0.75,1.05181732310114,5.61677109766657,3.2188758248682,0,3.04452243772342,4.75359019110636,3.52636052461616,0,1,3.85877927032499,1,0,1,0,0,1,0,1
11,0,0.90741,0.86111,0.0752819026829323,7.36518012602101,4.51305489708029,1.38629436111989,4.71849887129509,5.56068163101553,4.83628190695148,0,0,3.8900602271742,1,0,1,0,0,0,1,1
12,3,0.61224,0.4449,0.163875039592634,6.07534603108868,3.05400118167797,0.693147180559945,3.87120101090789,4.23410650459726,3.58351893845611,0,0,3.49754595686272,1,0,1,0,0,0,1,1
12,4,1,1,0.163875039592634,5.76832099579377,3.52636052461616,0,3.55534806148941,4.4188406077966,3.64414356027254,0,1,3.79438907893906,0,1,1,0,0,0,1,1
6,4,0.93168,0.96273,0.163875039592634,6.25382881157547,4.86753445045558,1.38629436111989,3.98898404656427,6.07534603108868,5.4971682252932,0,1,3.88130675977025,0,1,1,0,0,0,1,1
11,3,0.93023,1,0.484672153307257,7.32118855673948,4.66532410880784,1.70474809223843,4.56434819146784,5.45958551414416,4.67282883446191,0,0,3.84595740966773,0,1,1,0,0,1,0,1
10,4,0.6886,0.53947,0.163875039592634,7.27170370688737,4.0943445622221,0.693147180559945,3.25809653802148,4.95582705760126,4.49980967033027,0,1,3.35388594909658,1,0,1,0,0,1,0,1
11,5,0.95276,0.6063,0.24881438289512,6.99942246750796,3.71357206670431,0.22314355131421,4.0943445622221,4.80811102998478,4.47676847118357,0,1,3.9178540561253,0,1,0,0,0,1,0,1
12,4,0.9625,0.9875,1.05181732310114,5.10594547390058,2.52572864430826,-0.693147180559945,3.66356164612965,4.38202663467388,2.77258872223978,0,0,3.7502390564961,1,0,0,0,0,0,1,1
12,4,0.93168,0.96273,0.0152169540477273,7.29097477814298,4.44265125649032,1.09861228866811,4.39444915467244,5.55295958492162,5.63835466933375,0,1,3.80526914233753,1,0,1,0,0,0,1,1
6,3,1,1,1.05181732310114,6.08677472691231,3.68887945411394,0,3.29583686600433,4.57471097850338,3.2188758248682,1,0,3.79438907893906,0,1,1,0,0,0,1,1
10,4,0.89286,0.95238,0.113056802971772,7.65893549079269,4.30406509320417,1.25276296849537,4.92725368515721,5.77455154554441,5.30330490805908,0,0,3.90461455999724,1,0,1,0,0,1,0,1
9,4,0.61224,0.4449,1.05181732310114,5.98141421125448,3.17805383034795,0,3.49650756146648,4.89783979995091,4.69134788222914,1,1,3.49754595686272,0,1,1,0,0,0,1,1
6,4,0.93168,0.96273,0.163875039592634,7.03702761468628,4.23410650459726,0.693147180559945,4.21950770517611,5.04985600724954,5.28826703069454,0,1,3.80526914233753,1,0,1,0,0,0,1,1
3,4,0.89286,0.95238,0.0655753718622365,6.8001700683022,4.20469261939097,0.559615787935423,4.14313472639153,4.71849887129509,4.11903717481247,0,0,3.90461455999724,1,0,1,0,0,1,0,1
5,4,1,1,0.826898063360482,6.22455842927536,3.46573590279973,0.693147180559945,3.55534806148941,5.08759633523238,3.36729582998647,0,1,3.79438907893906,1,0,1,0,0,0,1,1
7,4,0.8596,0.94556,0.163875039592634,7.19443685110033,4.30406509320417,0.693147180559945,4.4188406077966,5.07517381523383,4.83628190695148,0,1,3.68521500516792,1,0,1,0,0,0,1,1
2,5,0.93023,1,339.526204712093,8.1605182474775,3.68887945411394,1.6094379124341,3.78418963391826,5.87773578177964,5.29831736654804,1,1,3.84595740966773,1,0,1,0,0,1,0,1
11,4,1,1,0.24881438289512,6.52209279817015,3.98898404656427,0.916290731874155,4.33073334028633,4.71177992104635,4.20020495292158,0,0,3.79438907893906,0,0,1,0,0,0,1,1
10,4.5,0.77439,0.60976,0.826898063360482,7.66105638236183,3.97029191355212,1.38629436111989,4.99721227376411,5.8171111599632,5.47227067367148,0,1,3.70047783078281,1,0,1,0,0,0,1,1
9,4.5,0.77439,0.60976,0.152580873981788,7.55328660560042,3.71357206670431,1.17865499634165,4.90527477843843,5.73009978297357,5.58724865840025,0,1,3.70047783078281,0,1,1,0,0,0,1,1
11,4,0.90741,0.86111,1.05181732310114,5.17048399503815,3.2188758248682,0,3.87120101090789,4.85203026391962,2.77258872223978,0,0,3.8900602271742,0,1,1,0,0,0,1,1
7,3,1,0.71084,0.163875039592634,7.18538701558042,4.86753445045558,1.38629436111989,4.7361984483945,5.74620319054015,4.38202663467388,1,1,3.61739723439899,0,1,1,0,0,1,0,1
11,4,0.77439,0.60976,0.826898063360482,6.77878489768518,3.25809653802148,0.693147180559945,4.27666611901606,5.27811465923052,4.70637206649706,1,1,3.70047783078281,0,1,1,0,0,0,1,1
11,4,1,1,0.163875039592634,6.34388043412633,3.46573590279973,0,3.68887945411394,4.34380542185368,2.99573227355399,1,1,3.79438907893906,0,0,1,0,0,0,1,1
7,4,1,1,0.163875039592634,6.8134445995109,4.51085950651685,1.38629436111989,4.54329478227,5.59098698051086,4.02535169073515,0,0,3.79438907893906,0,1,1,0,0,0,1,1
10,4,0.9625,0.9875,0.163875039592634,7.02108396428914,4.37475022570311,0.693147180559945,3.8286413964891,5.08759633523238,4.33073334028633,0,1,3.7502390564961,1,0,1,0,0,0,1,1
6,5,0.95276,0.6063,12.4776516930092,8.70979505761775,4.98360662170834,0.641853886172395,4.80402104473326,5.56452040732269,5.82747394699875,0,1,3.9178540561253,0,1,1,0,0,1,0,1
11,3,1,0.82234,0.109517103102118,5.88610403145016,3.74950407593037,0.300104592450338,3.80666248977032,5.00729639283074,3.58351893845611,0,1,3.71686090521328,1,0,0,0,0,1,0,1
11,4,1,1,0.975420051067181,7.24422751560335,4.0517849478033,0.928219302739429,4.33073334028633,5.59396760864899,4.56121829845891,0,0,3.79438907893906,0,1,1,0,0,0,1,1
12,3,0.9625,0.9875,0.163875039592634,8.66388757056704,4.84339937472034,2.30258509299405,5.62040086571715,6.5366915975913,5.82894561761021,0,0,3.7502390564961,0,1,1,0,0,0,1,1
4,4,0.89286,0.95238,0.0152169540477273,6.74051935960622,3.78418963391826,0.405465108108164,4.14313472639153,4.91632461462501,4.43081679884331,1,0,3.90461455999724,1,0,1,0,0,1,0,1
12,4,0.77439,0.60976,0.826898063360482,6.31035454668396,2.8160073426073,0.693147180559945,3.61091791264422,5.03695260241363,4.27360588571946,1,1,3.64117619038278,0,1,1,0,0,0,1,1
9,3,0.90741,0.86111,0.163875039592634,5.44673737166631,3.46573590279973,0,3.55534806148941,4.13516655674236,2.99573227355399,0,1,3.8900602271742,0,1,1,0,0,0,1,1
12,4,0.92835,0.96885,0.0655753718622365,7.61085279039525,4.70048036579242,1.25276296849537,4.91265488573605,5.91889385427315,4.77068462446567,0,1,3.67539387237517,1,0,0,0,0,0,1,1
6,4,0.90909,0.98182,1.05181732310114,5.98141421125448,3.2188758248682,0,3.13549421592915,4.44265125649032,3.49650756146648,0,1,3.14223278174196,1,0,1,0,0,0,1,1
11,4,0.8596,0.94556,4.25365905137174,7.07326971745971,3.26575941076705,1.09861228866811,4.4188406077966,5.46383180502561,4.38202663467388,1,1,3.68521500516792,0,1,1,0,0,0,1,1
5,3.5,0.07692,0.25641,0.163875039592634,7.63530388625941,4.49980967033027,0.693147180559945,3.66356164612965,5.32787616878958,4.8283137373023,1,1,3.15803632641883,0,1,1,0,0,0,1,1
7,5,0.33333,0.03333,0.993258435510223,6.88243747099785,3.91202300542815,1.09861228866811,3.63758615972639,5.39816270151775,4.77068462446567,0,0,3.54081154247904,0,1,0,0,0,0,1,1
6,4,0.07692,0.25641,1.02023434006833,6.44571981938558,3.17805383034795,0.698134722070984,3.85014760171006,5.47378213587878,3.89182029811063,0,0,3.15803632641883,0,1,1,0,0,0,1,1
6,4,0.875,0.75,0.163875039592634,6.73340189183736,4.17438726989564,0.693147180559945,3.8286413964891,4.99043258677874,3.67630067190708,0,1,3.50880211716879,1,0,1,0,0,1,0,1
12,0,0.51309,0.74346,0.173410848468516,7.31455283232408,4.12713438504509,1.54329810992956,5.01063529409626,4.89034912822175,4.68675017298051,0,1,3.66307085464007,0,0,0,0,0,1,0,1
7,4.5,0.875,0.75,0.163875039592634,6.16961073249146,3.09104245335832,0.693147180559945,3.95124371858143,5.54517744447956,4.66343909411207,0,1,3.50880211716879,1,0,1,0,0,1,0,1
9,4,0.33333,0.03333,0.14381221194119,7.27236366974499,4.62497281328427,1.84530023615608,4.31748811353631,5.85793315448346,4.90156419904189,0,0,3.54081154247904,1,0,1,0,0,0,1,1
6,5,0.90909,0.98182,0.163875039592634,7.33302301438648,4.24849524204936,1.09861228866811,4.61512051684126,5.11198778835654,4.53259949315326,0,1,3.14223278174196,1,0,1,0,0,0,1,1
6,3,0.83333,0.78667,0.130826976836786,8.11312710422178,5.03695260241363,1.94591014905531,5.17048399503815,6.02102334934953,5.0998664278242,1,1,3.72586481247999,0,1,1,0,0,0,1,1
6,5,0.82143,0.91429,0.258294354996737,8.42244285487043,4.47847253294213,1.79175946922805,5.39816270151775,5.33753807970132,5.89164421182577,0,1,3.73152155392445,1,0,1,0,0,1,0,1
5,4,0.33333,0.03333,0.0152169540477273,7.14361760270412,4.44265125649032,1.09861228866811,4.40671924726425,5.34233425196481,5.54907608489522,1,1,3.54081154247904,0,1,1,0,0,0,1,1
7,4,1,1,26.876840721685,6.59646334089122,3.85014760171006,1.01160091167848,4.31748811353631,6.24222326545517,5.21493575760899,0,0,3.79438907893906,0,1,1,0,0,0,1,1
9,4,0.33333,0.03333,0.127555240463586,6.74523634948436,4.49980967033027,0.693147180559945,3.91202300542815,5.32300997913841,4.74493212836325,1,1,3.54081154247904,0,1,0,0,0,0,1,1
9,4,0.33333,0.03333,0.0152169540477273,7.22766249872865,4.53259949315326,1.09861228866811,4.27666611901606,5.61677109766657,5.44241771052179,0,1,3.54081154247904,1,0,0,0,0,0,1,1
6,0,0.07692,0.25641,0.163875039592634,6.77536609093639,3.93182563272433,0.693147180559945,3.95124371858143,6.06842558824411,3.87120101090789,0,1,3.15803632641883,1,0,1,0,0,0,1,1
7,3.5,0.90909,0.98182,0.0667023701848758,8.39389497507174,5.37063802812766,2.07944154167984,5.41610040220442,6.25766758788264,5.46383180502561,0,1,3.14223278174196,0,1,1,0,0,0,1,1
12,5,0.92835,0.96885,0.24881438289512,7.18538701558042,4.24849524204936,0.916290731874155,4.49980967033027,5.4249500174814,4.43081679884331,1,1,3.67539387237517,0,1,1,0,0,0,1,1
9,5,0.76923,0.84615,1.05181732310114,6.22653666928747,3.2188758248682,0,3.2188758248682,4.44265125649032,3.98898404656427,0,0,3.74513583689117,1,0,1,0,0,1,0,1
11,3,0.82143,0.91429,0.163875039592634,6.08677472691231,3.46573590279973,0,3.78418963391826,4.44265125649032,2.94443897916644,0,0,3.73152155392445,1,0,1,0,0,1,0,1
7,4,0.93023,1,0.163875039592634,7.41457288135059,4.17438726989564,0.693147180559945,4.52178857704904,5.04985600724954,3.85014760171006,1,1,3.84595740966773,0,1,0,0,0,1,0,1
12,4,0.96203,0.94937,0.24881438289512,7.01481435127554,4.55387689160054,0.916290731874155,4.68213122712422,5.59842195899838,4.86753445045558,0,0,3.52945946984927,0,1,1,0,0,0,1,1
12,5,0.96203,0.94937,1.54418975583184,7.54591815120932,4.18965474202643,0.693147180559945,4.47733681447821,5.55489569394848,5.59098698051086,1,1,3.52945946984927,0,1,1,0,0,0,1,1
6,4,0.9466,0.87864,0.163875039592634,5.7037824746562,4.07329115302427,0.693147180559945,4.35670882668959,5.18738580584075,4.8572509871969,0,0,3.60182938397416,0,1,1,0,0,0,1,1
3,4,1,1,1.05181732310114,5.98141421125448,3.17805383034795,0,3.43398720448515,4.64439089914137,4.52178857704904,1,1,3.91674793328293,1,0,0,0,0,0,1,1
7,4,0.5,0.5,0.1696421457511,7.75790620835175,5.30330490805908,1.84213567655312,5.17048399503815,6.22487521077797,5.03311407585668,0,0,3.84535086767931,0,0,1,0,0,0,1,1
2,4,0.90747,0.84578,0.163875039592634,6.9177056098353,4.8283137373023,1.38629436111989,4.99043258677874,4.68213122712422,3.95124371858143,0,0,3.87768654821989,0,1,1,0,0,0,1,1
7,5,0.95808,0.8982,0.163875039592634,6.5792512120101,2.83321334405622,0.693147180559945,3.98898404656427,4.93806460126142,4.07753744390572,0,1,3.9317515897408,1,0,1,0,0,1,0,1
6,4,0.90747,0.84578,0.359602081511512,6.6496320087719,3.9070104636046,0.444685821261446,4.33073334028633,5.22380931437297,4.08899695589551,1,1,3.87768654821989,0,1,0,0,0,0,1,1
4,5,0.90747,0.84578,0.163875039592634,6.63987583382654,4.9416424226093,1.38629436111989,4.36944785246702,5.52942908751142,4.19720194766181,1,0,3.87768654821989,0,1,1,0,0,0,1,1
2,5,0.69565,0.79891,1.05181732310114,6.77992190747225,3.78418963391826,0.693147180559945,3.09104245335832,5.08759633523238,4.0943445622221,0,0,3.836706560767,1,0,1,0,0,0,1,1
12,4,0.95238,0.99206,3.07783565008592,7.25841215059531,4.64918707140487,1.50407739677627,5.06259503302697,5.57972982598622,4.44511879783986,0,1,3.92735182078385,0,0,1,0,0,0,1,1
5,4,0.93168,0.96273,0.163875039592634,6.92755790627832,3.37587957367787,0.482426149244293,3.93182563272433,4.70048036579242,3.25809653802148,0,0,3.53369759789102,1,0,1,0,0,0,1,1
6,4,0.9,0.96,50.9638905394392,7.10167597161944,3.58351893845611,0.405465108108164,4.0943445622221,4.43081679884331,3.63230910262554,0,1,3.61364079255604,0,1,0,0,0,1,0,1
9,4,0.75455,0.90909,0.890469862124348,6.73368756531452,5.57070812043086,1.09861228866811,4.8283137373023,5.26940335638339,5.0099016917425,0,1,3.57810002653568,0,1,1,0,0,1,0,1
8,0,0.89286,0.95238,0.24881438289512,6.4831073514572,3.46573590279973,0.22314355131421,4.04305126783455,4.84418708645859,4.61512051684126,1,1,3.90461455999724,1,0,1,0,0,1,0,1
6,4,0.89286,0.95238,0.0152169540477273,7.06987412845857,3.91202300542815,0.405465108108164,4.06044301054642,4.99043258677874,4.32413265625498,0,0,3.90461455999724,1,0,1,0,0,1,0,1
6,3.5,0.89286,0.95238,0.0152169540477273,7.028201432058,3.93182563272433,0.405465108108164,4.02535169073515,4.89034912822175,4.3502779363593,0,0,3.90461455999724,1,0,1,0,0,1,0,1
8,3.5,0.89286,0.95238,0.0655753718622365,7.21081845347222,3.89182029811063,0.559615787935423,4.14313472639153,5.07829394257007,4.51085950651685,0,0,3.48899451553546,1,0,1,0,0,1,0,1
3,5,0.91475,0.81336,0.24881438289512,7.2152399787301,4.68213122712422,0.916290731874155,3.73766961828337,5.49306144334055,5.46806014113513,0,1,3.58820680741338,1,0,1,0,0,0,1,1
12,4,0.625,0.75,0.163875039592634,6.91075078796194,4.17438726989564,0.693147180559945,4.35670882668959,5.03695260241363,5.19295685089021,0,1,3.49648272089283,0,1,1,0,0,0,1,1
7,4,1,1,0.127555240463586,6.28785856016178,3.98898404656427,0.693147180559945,4.26267987704132,4.75359019110636,2.39789527279837,0,1,3.51875050744647,0,1,0,0,0,1,0,1
2,4,0.625,0.75,0.163875039592634,6.86484777797086,4.30406509320417,0.693147180559945,3.85014760171006,5.03043792139244,5.10594547390058,0,1,3.49648272089283,0,1,1,0,0,0,1,1
7,4.5,0.95276,0.6063,0.163875039592634,7.13409372119287,4.00733318523247,0.693147180559945,4.15888308335967,5.05624580534831,4.61015772749913,0,1,3.9178540561253,0,1,0,0,0,1,0,1
7,4,0.90909,0.98182,1.05181732310114,6.11146733950268,3.52636052461616,0,3.13549421592915,4.68213122712422,3.98898404656427,1,1,3.14223278174196,1,0,1,0,0,0,1,1
7,4,0.4,0,0.163875039592634,6.39692965521615,4.17438726989564,0.693147180559945,3.40119738166216,4.91265488573605,3.80666248977032,0,1,3.48366290093382,1,0,0,0,0,1,0,1
5,4.5,0.95205,0.78767,0.500709510671691,7.97091308666584,4.38202663467388,0.322083499169113,4.4188406077966,5.1328529268205,5.24174701505964,0,1,3.9178540561253,0,1,1,0,0,1,0,1
1,4,0.9,0.8,114.291296521259,6.11809719804135,4.14313472639153,0.231111720963387,3.40119738166216,6.03068526026126,4.27249074760558,1,1,0.771266929688543,0,1,0,0,0,0,1,1
12,3.5,0.6,0.88889,0.163875039592634,6.97914527506881,4.1174098351531,1.09861228866811,4.48863636973214,5.28826703069454,4.52178857704904,0,0,1.03233392287341,1,0,0,0,0,0,1,1
9,4,0.6,0.88889,0.258294354996737,8.44074401925283,4.36691299686383,1.79175946922805,4.53259949315326,5.27299955856375,4.53259949315326,1,1,3.31142074737915,1,0,1,0,0,0,1,1
2,5,0.33333,0.03333,1.05181732310114,5.39362754635236,2.39789527279837,-0.693147180559945,2.89037175789616,4.60517018598809,4.95279429440641,1,1,3.54081154247904,0,1,1,0,0,0,1,1
12,4,1,1,0.258294354996737,7.23993259132047,4.26549281841793,1.09861228866811,4.7361984483945,5.28826703069454,4.24849524204936,0,1,3.91674793328293,1,0,0,0,0,0,1,1
4,4.5,0.95,0.95,0.163875039592634,6.89972310728487,3.3499040872746,0.693147180559945,4.06044301054642,5.8171111599632,3.20680324363393,1,1,3.04951850801741,1,0,1,0,0,1,0,1
9,4,0.11111,0.66667,0.163875039592634,6.76849321164863,4.43081679884331,0.693147180559945,3.73766961828337,4.94875989037817,4.11087386417331,0,1,2.64231146171943,1,0,1,0,0,1,0,1
12,4,0.95,0.95,0.0152169540477273,7.24422751560335,4.44265125649032,1.09861228866811,4.46590811865458,5.4380793089232,5.46911443749004,1,1,3.04951850801741,0,1,0,0,0,1,0,1
9,5,0.95205,0.78767,1.35667860184547,7.90378097887515,4.38202663467388,0.22314355131421,4.45434729625351,5.10897119481712,5.14166355650266,0,0,3.9178540561253,0,1,1,0,0,1,0,1
12,4,1,1,0.0152169540477273,7.24422751560335,4.44265125649032,1.09861228866811,4.29045944114839,5.59471137960184,5.605802066296,1,1,3.91674793328293,1,0,1,0,0,0,1,1
5,3,0.7,0.75,0.0152169540477273,6.80239476332431,4.00733318523247,1.09861228866811,3.40119738166216,4.93447393313069,4.06044301054642,0,0,3.85877927032499,1,0,0,0,0,1,0,1
9,4,0.90741,0.86111,0.0861047716275147,6.60800062529609,3.85014760171006,0.625938430866495,3.43398720448515,4.86753445045558,4.05352256770185,0,0,3.8900602271742,0,1,1,0,0,0,1,1
12,4,0.85714,0.98571,1.31028555311057,7.60787807327851,4.44265125649032,0.806475865866949,4.35670882668959,5.4380793089232,4.18965474202643,0,0,3.23426067222652,0,1,1,0,0,0,1,1
9,4,0.85714,0.98571,0.163875039592634,6.68085467879022,3.80666248977032,0.693147180559945,3.97029191355212,4.84418708645859,4.20469261939097,0,1,3.23426067222652,1,0,0,0,0,0,1,1
7,4,0.95808,0.8982,16.4894571643423,6.77078942390898,4.00277736869661,1.44691898293633,4.95582705760126,6.11809719804135,4.99721227376411,1,0,3.9317515897408,0,1,1,0,0,1,0,1
6,3,0.9,0.96,0.0610574876961001,6.38350663488401,3.98154906807676,0.916290731874155,4.53259949315326,5.27811465923052,3.8177123259569,1,1,3.61364079255604,0,1,0,0,0,1,0,1
9,5,0.93023,1,0.258294354996737,7.60190195987517,3.78532535238219,1.09861228866811,4.80402104473326,5.07517381523383,5.11799381241676,0,1,3.84595740966773,1,0,1,0,0,1,0,1
2,4,0.90747,0.84578,0.163875039592634,6.9985096422506,4.24849524204936,0.693147180559945,4.04305126783455,5.03695260241363,4.07753744390572,0,0,3.87768654821989,1,0,0,0,0,0,1,1
11,4,0.94697,0.89394,0.163875039592634,6.96034772910131,4.12713438504509,0.693147180559945,4.30406509320417,5.39362754635236,4.43081679884331,0,0,3.19552704304561,1,0,0,0,0,0,1,1
6,4,0.90747,0.84578,0.163875039592634,6.73340189183736,4.24849524204936,0.693147180559945,4.48863636973214,4.83628190695148,4.32413265625498,0,0,3.87768654821989,0,1,1,0,0,0,1,1
9,4,0.925,0.9375,0.0752819026829323,6.38687931936265,3.71600812150219,0.693147180559945,4.61512051684126,5.03695260241363,3.72930136861285,0,1,3.12718697166663,1,0,0,0,0,1,0,1
12,4,1,0.82234,0.163875039592634,6.90775527898214,4.24849524204936,0.693147180559945,4.12713438504509,4.95582705760126,4.15888308335967,1,0,3.71686090521328,0,1,1,0,0,1,0,1
9,5,0.93023,1,0.163875039592634,6.42971947803914,3.48124008933569,0,3.95124371858143,4.30406509320417,3.18841661738349,0,1,3.84595740966773,0,1,0,0,0,1,0,1
